iter	Passed	Remaining
0	0	98
1	1	87
2	2	82
3	3	75
4	3	75
5	4	74
6	5	73
7	6	73
8	7	73
9	8	74
10	9	74
11	9	73
12	10	73
13	11	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
